name	description	rep_num	run	bases	bio_project	bio_sample	cultivar	dev_stage	experiment	isolate	library_name	organism	SRA_study	tissue
pen_germ	Germinated pollen	3	SRR3119167	5143804760	PRJNA309342	SAMN04431701	LA0716	germinated	SRX1544768	SOLPEN3	SOLPEN3-POL-G	Solanum pennellii	SRP068871	pollen
pen_lyc	pen pistils pollinated by lyc pollen (unilateral incompatibility)	1	SRR3119158	3624741530	PRJNA309342	SAMN04431692	LA0716\,LA3475	1 day after flowering	SRX1544759	SOLPEN1	SOLPEN1-STY-L	Solanum pennellii	SRP068871	style+pollen
pen_lyc	pen pistils pollinated by lyc pollen (unilateral incompatibility)	2	SRR3119165	4990032260	PRJNA309342	SAMN04431699	LA0716\,LA3475	1 day after flowering	SRX1544766	SOLPEN2	SOLPEN2-STY-L	Solanum pennellii	SRP068871	style+pollen
pen_lyc	pen pistils pollinated by lyc pollen (unilateral incompatibility)	3	SRR3119172	1427306144	PRJNA309342	SAMN04431706	LA0716\,LA3475	1 day after flowering	SRX1544773	SOLPEN3	SOLPEN3-STY-L	Solanum pennellii	SRP068871	style+pollen
pen_S-	Unpollinated pistils 1 days before ﬂowering time	1	SRR3119155	3529876674	PRJNA309342	SAMN04431689	LA0716	1 day before flowering	SRX1544756	SOLPEN1	SOLPEN1-STY-1	Solanum pennellii	SRP068871	style
pen_S-	Unpollinated pistils 1 days before ﬂowering time	1	SRR3119169	4600376886	PRJNA309342	SAMN04431703	LA0716	1 day before flowering	SRX1544770	SOLPEN3	SOLPEN3-STY-1	Solanum pennellii	SRP068871	style
pen_S-	Unpollinated pistils 1 days before ﬂowering time	2	SRR3119162	4029277638	PRJNA309342	SAMN04431696	LA0716	1 day before flowering	SRX1544763	SOLPEN2	SOLPEN2-STY-1	Solanum pennellii	SRP068871	style
pen_S-5	Unpollinated pistils 5 days before ﬂoweringtime (pen only)	1	SRR3119154	6400852982	PRJNA309342	SAMN04431688	LA0716	5 days before flowering	SRX1544755	SOLPEN1	SOLPEN1-STY-5	Solanum pennellii	SRP068871	style
pen_S-5	Unpollinated pistils 5 days before ﬂoweringtime (pen only)	2	SRR3119161	3463543308	PRJNA309342	SAMN04431695	LA0716	5 days before flowering	SRX1544762	SOLPEN2	SOLPEN2-STY-5	Solanum pennellii	SRP068871	style
pen_S-5	Unpollinated pistils 5 days before ﬂoweringtime (pen only)	3	SRR3119168	3504361448	PRJNA309342	SAMN04431702	LA0716	5 days before flowering	SRX1544769	SOLPEN3	SOLPEN3-STY-5	Solanum pennellii	SRP068871	style
pen_S+	Unpollinated pistils just after ﬂowering time	1	SRR3119156	4879042754	PRJNA309342	SAMN04431690	LA0716	1 day after flowering	SRX1544757	SOLPEN1	SOLPEN1-STY-0	Solanum pennellii	SRP068871	style
pen_S+	Unpollinated pistils just after ﬂowering time	2	SRR3119163	3360481090	PRJNA309342	SAMN04431697	LA0716	1 day after flowering	SRX1544764	SOLPEN2	SOLPEN2-STY-0	Solanum pennellii	SRP068871	style
pen_S+	Unpollinated pistils just after ﬂowering time	3	SRR3119170	4416282772	PRJNA309342	SAMN04431704	LA0716	1 day after flowering	SRX1544771	SOLPEN3	SOLPEN3-STY-0	Solanum pennellii	SRP068871	style
pen_self	Self-pollinated pistils just after ﬂowering time	1	SRR3119157	4702688068	PRJNA309342	SAMN04431691	LA0716	1 day after flowering	SRX1544758	SOLPEN1	SOLPEN1-STY-P	Solanum pennellii	SRP068871	style+pollen
pen_self	Self-pollinated pistils just after ﬂowering time	2	SRR3119164	2569778552	PRJNA309342	SAMN04431698	LA0716	1 day after flowering	SRX1544765	SOLPEN2	SOLPEN2-STY-P	Solanum pennellii	SRP068871	style+pollen
pen_self	Self-pollinated pistils just after ﬂowering time	3	SRR3119171	6831635354	PRJNA309342	SAMN04431705	LA0716	1 day after flowering	SRX1544772	SOLPEN3	SOLPEN3-STY-P	Solanum pennellii	SRP068871	style+pollen
